出现时间,弹幕类型,字的大小,颜色,弹幕添加时间戳,unknown_5,unknown_6,unknown_7,unknown_8,弹幕内容
3.299,5,25,15138834,1630596006,0,246050c8,5.43E+16,0,我们是冠军！！！
3.339,1,25,16777215,1630664444,0,c30e32e1,5.43E+16,10,凤一其随
3.339,1,25,16777215,1630606254,0,1a4cdd72,5.43E+16,1,爆杀拉夫！
3.39,1,25,16777215,1630641065,0,6fc3016e,5.43E+16,9,淀粉集合！
3.39,1,25,16777215,1630595200,0,8f3ad96c,5.43E+16,9,过年啦！
3.399,1,25,16777215,1630590534,0,a82c4dd2,5.43E+16,1,上嘴脸
3.401,1,25,16777215,1630594440,0,8aa7cc61,5.43E+16,0,我们是冠军
3.419,1,25,16777215,1630593444,0,584c4ba1,5.43E+16,1,edg你也有今天！！！？！！！
3.419,1,25,15138834,1630592293,0,5a24d59e,5.43E+16,1,我们是冠军！！！
3.496,1,25,16777215,1630597484,0,6c50b4dc,5.43E+16,10,恭喜edg!!
3.499,1,25,41194,1630592494,0,14f56a45,5.43E+16,10,我曾经相信科学
3.499,1,25,16777215,1630680039,0,ceef570,5.43E+16,0,我们是冠军
3.499,1,25,16777215,1630622871,0,ac49b78b,5.43E+16,0,给了多少钱啊？
3.503,1,25,16777215,1630591519,0,6de844c5,5.43E+16,10,没想到的结局，但也恭喜EDG
3.539,1,25,16777215,1630592547,0,61e51732,5.43E+16,1,我们是冠军
3.579,1,25,16777215,1630590665,0,42717de1,5.43E+16,10,卧槽EDG！！！
3.579,1,25,16777215,1630593297,0,23c73788,5.43E+16,8,过年啦
3.642,5,25,15138834,1630591079,0,25bcf37d,5.43E+16,0,我们是冠军！
3.66,1,25,16777215,1630675169,0,a73ec585,5.43E+16,7,777
3.666,1,25,16777215,1630674509,0,c560a0dc,5.43E+16,1,爆杀拉夫
3.708,1,25,16777215,1630626466,0,8b935f75,5.43E+16,8,过年啦
3.731,1,25,16777215,1630593766,0,65ad1374,5.43E+16,1,空降10:42
3.739,1,25,16777215,1630608417,0,91adbac6,5.43E+16,10,凤一其随
3.755,5,25,16646914,1630590638,0,b0a26119,5.43E+16,1,《凤一其随》
3.816,1,25,16777215,1630656551,0,dd74502c,5.43E+16,10,我们是冠军！！！！
3.816,1,25,16777215,1630599594,0,f10dc51a,5.43E+16,10,揭棺而起！！！！！
3.817,1,25,16777215,1630598101,0,730b6191,5.43E+16,10,我们是冠军！！！
3.899,1,25,16777215,1630665307,0,69ac6a93,5.43E+16,8,666
3.901,1,25,8700107,1630637478,0,8031147e,5.43E+16,8,666
3.928,1,25,16777215,1630821839,0,243e9a83,5.44E+16,8,回来了
3.944,1,25,16777215,1630745584,0,98aab1de,5.43E+16,1,edg冠军，woc了
3.961,4,25,15138834,1630590118,0,59a54e5b,5.43E+16,1,淀粉只看回放
3.987,1,25,16777215,1630589605,0,e07e3a62,5.43E+16,8,7时已到！
3.987,1,25,16777215,1630591199,0,6a7f84b6,5.43E+16,1,viper！
4.028,1,25,16777215,1630596010,0,f2205e51,5.43E+16,8,777777
4.05,1,25,16777215,1630590727,0,66e7e9d7,5.43E+16,8,恭喜EDG！
4.057,1,25,16777215,1630581158,0,95831c7,5.43E+16,1,凤一 7three edg3:1
4.059,1,25,16777215,1630595527,0,304c801b,5.43E+16,8,EDG!
4.06,1,25,16777215,1630598963,0,ac5e458d,5.43E+16,8,过年了
4.078,1,25,16777215,1630582573,0,c6e9be71,5.43E+16,8,多多宝贝！！
4.165,1,25,16777215,1630593967,0,b68ddaed,5.43E+16,1,恭喜edg
4.18,1,25,16777215,1630813403,0,9f8b5cfa,5.44E+16,1,我们是冠军
4.18,1,25,16777215,1630578957,0,2f228074,5.43E+16,1,感觉fpx没了啊
4.243,1,25,16777215,1630596320,0,3a18e1ac,5.43E+16,8,我们是冠军！
4.286,5,25,16707842,1630590060,0,39e61b4,5.43E+16,0,rng狂喜！！！啊？不是rng的冠军吗？
4.335,1,25,16777215,1630598039,0,9063b638,5.43E+16,1,恭喜EDG
4.35,1,25,16777215,1630599613,0,b33161c5,5.43E+16,1,凤一其随
4.402,1,25,16777215,1630803829,0,d64f0352,5.44E+16,1,皮肤选寡妇！
4.404,1,25,16777215,1630599671,0,6e233a13,5.43E+16,1,凤一其随？E碰就碎！！
4.43,1,25,16777215,1630719913,0,e66bd048,5.43E+16,10,我们是冠军！！！
4.462,5,25,15138834,1630590222,0,2cd1567f,5.43E+16,0,恭喜EDG！！！
4.479,1,25,16777215,1630592253,0,6998d54d,5.43E+16,8,EDG！！！
4.503,1,25,16777215,1630590889,0,446fb789,5.43E+16,8,我们是冠军！！！
4.528,1,25,16777215,1630764413,0,c32bd5fa,5.44E+16,8,7777777
4.562,5,25,41194,1630599820,0,ff4ff947,5.43E+16,0,没有平行世界，这就是我们的时代！
4.581,1,25,16777215,1630595000,0,d2e9f634,5.43E+16,1,我们是冠军！
4.607,1,25,16777215,1630590582,0,175d4617,5.43E+16,1,恭喜edg 
4.619,5,25,15138834,1630597818,0,cf62ba0f,5.43E+16,1,我们是冠军
4.66,1,25,16777215,1630589951,0,e5596b69,5.43E+16,8,来看了！
4.67,1,25,16777215,1630591121,0,dd55a86f,5.43E+16,8,过年咯！
4.67,1,25,16777215,1630595007,0,28e896b6,5.43E+16,1,我们是冠军！！！
